state_code,state_name,district_code,district_name,tehsil-village_name,mec_upto_1to1pt5_year,mec_breeding,mec_draught,mec_draught_breeding,mec_others,mec_total,fec_upto_1_year,fec_1to2pt5_year,fec_milk,fec_dry,fec_not_calved_once,fec_others,fec_total,ec_totalstate_code,state_name,district_code,district_name,tehsil-village_name,mec_upto_1to1pt5_year,mec_breeding,mec_draught,mec_draught_breeding,mec_others,mec_total,fec_upto_1_year,fec_1to2pt5_year,fec_milk,fec_dry,fec_not_calved_once,fec_others,fec_total,ec_total24,GUJARAT,491,Valsad,Tahsil-ValsadVillage-Malvan,18,9,15,7,5,54,22,7,34,11,11,0,85,139
1,JAMMU&KASHMIR,4,Kargil,Tahsil-KargilVillage-Skambo,8,1,0,0,0,9,64,7,67,22,0,0,160,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-KargilVillage-Karit,10,0,0,0,0,10,26,9,47,0,0,0,82,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-KargilVillage-Lamsusando,1,0,0,0,0,1,0,0,12,0,0,0,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-KargilVillage-Yogmakharb,7,4,0,0,0,11,21,30,48,4,9,0,112,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-KargilVillage-Sanjak,7,2,0,0,0,9,7,6,24,9,0,0,46,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-KargilVillage-Chiktan,32,0,0,0,0,32,63,22,150,17,17,0,269,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-KargilVillage-Hagnis,32,3,0,0,0,35,79,14,185,9,0,0,287,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-KargilVillage-Karkit,9,0,0,0,0,9,146,83,255,39,24,0,547,556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-KargilVillage-Kaksar,10,1,0,0,0,11,0,1,24,0,0,0,25,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-KargilVillage-Kharbu,0,0,0,0,0,0,174,0,172,0,0,0,346,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-KargilVillage-Chuliskamb,47,10,0,0,0,57,45,64,118,76,41,0,344,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-KargilVillage-PushKum,92,2,0,0,0,94,289,156,469,18,1,0,933,1027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
